[2026-02-13 20:53:16] [INFO    ] discord.client: logging in using static token
[2026-02-13 20:53:17] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'JOJO_BOT', 'primary_guild': None, 'mfa_enabled': False, 'id': '991726125057331222', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '7617', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '0a779a86ab63ea54d7087aabb5838c8c', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1468366165041615112'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-east', 'newark', 'atlanta', 'us-central', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '991726125057331222', 'flags': 565248}, '_trace': ['["gateway-prd-arm-us-east1-c-k61f",{"micros":140382,"calls":["id_created",{"micros":393,"calls":[]},"session_lookup_time",{"micros":934,"calls":[]},"session_lookup_finished",{"micros":11,"calls":[]},"discord-sessions-prd-2-26",{"micros":138742,"calls":["start_session",{"micros":117377,"calls":["discord-api-rpc-558f5c96bb-tn55z",{"micros":56325,"calls":["get_user",{"micros":8563},"get_guilds",{"micros":6006},"send_scheduled_deletion_message",{"micros":26},"guild_join_requests",{"micros":4},"authorized_ip_coro",{"micros":8},"pending_payments",{"micros":933},"apex_experiments",{"micros":43238},"sessions_experiments",{"micros":5},"user_activities",{"micros":3},"played_application_ids",{"micros":3},"linked_users",{"micros":2},"ad_personalization_toggles_disabled",{"micros":2},"regional_feature_config",{"micros":8}]}]},"starting_guild_connect",{"micros":33,"calls":[]},"presence_started",{"micros":8263,"calls":[]},"guilds_started",{"micros":72,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":12960,"calls":[]},"connect_finished",{"micros":12975,"calls":[]},"build_ready",{"micros":17,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2026-02-13 20:53:17] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-13 20:53:17] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 0a779a86ab63ea54d7087aabb5838c8c).
[2026-02-13 20:53:17] [DEBUG   ] discord.client: Dispatching event connect
[2026-02-13 20:53:17] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'voice_states': [], 'features': ['BYPASS_SLOWMODE_PERMISSION_MIGRATION_COMPLETE', 'PIN_PERMISSION_MIGRATION_COMPLETE'], 'rules_channel_id': None, 'max_video_channel_users': 25, 'member_count': 2, 'hub_type': None, 'activity_instances': [], 'max_stage_video_channel_users': 50, 'mfa_level': 0, 'application_id': None, 'guild_scheduled_events': [], 'safety_alerts_channel_id': None, 'profile': None, 'afk_timeout': 300, 'premium_features': None, 'nsfw': False, 'nsfw_level': 0, 'embedded_activities': [], 'premium_progress_bar_enabled': False, 'home_header': None, 'id': '1468366165041615112', 'public_updates_channel_id': None, 'joined_at': '2026-02-03T22:04:41.669000+00:00', 'name': 'Warjackjo Type Chat', 'soundboard_sounds': [], 'lazy': True, 'incidents_data': None, 'stickers': [], 'threads': [], 'latest_onboarding_question_id': None, 'default_message_notifications': 0, 'stage_instances': [], 'description': None, 'vanity_url_code': None, 'large': False, 'system_channel_flags': 0, 'icon': 'd8f5851c19d2acab59c422a0bce2374a', 'splash': None, 'owner_id': '848552717722189844', 'system_channel_id': '1468366167499346014', 'roles': [{'version': 1770243874381, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1468366165041615112', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1770243895206, 'unicode_emoji': None, 'tags': {'bot_id': '991726125057331222'}, 'position': 2, 'permissions': '8', 'name': "Jojo's Test Server", 'mentionable': False, 'managed': True, 'id': '1468366613538541740', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1770243895320, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'Elite', 'mentionable': False, 'managed': False, 'id': '1468734025530081400', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'preferred_locale': 'en-US', 'premium_tier': 0, 'afk_channel_id': None, 'region': 'deprecated', 'application_command_counts': {}, 'max_members': 25000000, 'verification_level': 0, 'unavailable': False, 'discovery_splash': None, 'owner_configured_content_level': 0, 'premium_subscription_count': 0, 'premium_progress_bar_enabled_user_updated_at': None, 'emojis': [], 'version': 1770243874455, 'banner': None, 'presences': [], 'moderator_reporting': None, 'inventory_settings': None, 'channels': [{'version': 1770243874407, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1468366167499346013', 'flags': 0}, {'version': 1770243874415, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1468366167499346013', 'name': 'general', 'last_message_id': '1471692661437108465', 'id': '1468366167499346014', 'flags': 0}, {'version': 1770243874418, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '1468366167499346013', 'name': 'clips-and-highlights', 'last_message_id': '1468729427385909543', 'id': '1468366167499346015', 'flags': 0}, {'version': 1770243874425, 'type': 4, 'position': 3, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1468366167499346016', 'flags': 0}, {'version': 1770243874429, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [], 'parent_id': '1468366167499346016', 'name': 'Lobby', 'last_message_id': None, 'id': '1468366167499346017', 'flags': 0, 'bitrate': 64000}, {'version': 1770243874439, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 5, 'permission_overwrites': [], 'parent_id': '1468366167499346016', 'name': 'Gaming', 'last_message_id': None, 'id': '1468366167499346019', 'flags': 0, 'bitrate': 64000}], 'members': [{'user': {'username': 'JOJO_BOT', 'public_flags': 0, 'primary_guild': None, 'id': '991726125057331222', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '7617', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1468366613538541740'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-02-03T22:04:41.669000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'explicit_content_filter': 0}}
[2026-02-13 20:53:17] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-13 20:53:17] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '6f38a230c25d07e08058394ad25b0392', 'members': [{'user': {'username': 'takiguzzler55', 'public_flags': 0, 'primary_guild': None, 'id': '848552717722189844', 'global_name': 'Jojo', 'display_name_styles': None, 'display_name': 'Jojo', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '404c8ef96d845c4244e4379a6c9122e8'}, 'roles': ['1468734025530081400'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-02-03T22:02:55.145000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'JOJO_BOT', 'public_flags': 0, 'primary_guild': None, 'id': '991726125057331222', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '7617', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1468366613538541740'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-02-03T22:04:41.669000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1468366165041615112', 'chunk_index': 0, 'chunk_count': 1}}
[2026-02-13 20:53:17] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-13 20:53:17] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1468366165041615112.
[2026-02-13 20:53:19] [DEBUG   ] discord.client: Dispatching event guild_available
[2026-02-13 20:53:19] [DEBUG   ] discord.client: Dispatching event ready
[2026-02-13 20:53:19] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/991726125057331222/guilds/1468366165041615112/commands with [{"name":"hello","description":"What's up fool?","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"help","description":"erm, chat, what should I do","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"joke","description":"laughter's the best medicine...","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null}] has returned 200
[2026-02-13 20:53:19] [DEBUG   ] discord.http: PUT /applications/{application_id}/guilds/{guild_id}/commands has found its initial rate limit bucket hash (3e32a240d3716487d7d8f6dae6c54f6b).
[2026-02-13 20:53:19] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/991726125057331222/guilds/1468366165041615112/commands has received [{'id': '1472048027123323072', 'application_id': '991726125057331222', 'version': '1472048027123323075', 'default_member_permissions': None, 'type': 1, 'name': 'hello', 'name_localizations': None, 'description': "What's up fool?", 'description_localizations': None, 'guild_id': '1468366165041615112', 'nsfw': False}, {'id': '1472048027123323073', 'application_id': '991726125057331222', 'version': '1472048027123323076', 'default_member_permissions': None, 'type': 1, 'name': 'help', 'name_localizations': None, 'description': 'erm, chat, what should I do', 'description_localizations': None, 'guild_id': '1468366165041615112', 'nsfw': False}, {'id': '1472048027123323074', 'application_id': '991726125057331222', 'version': '1472048027123323077', 'default_member_permissions': None, 'type': 1, 'name': 'joke', 'name_localizations': None, 'description': "laughter's the best medicine...", 'description_localizations': None, 'guild_id': '1468366165041615112', 'nsfw': False}]
[2026-02-13 20:53:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'INTERACTION_CREATE', 's': 4, 'op': 0, 'd': {'version': 1, 'type': 2, 'token': 'aW50ZXJhY3Rpb246MTQ3MjA0ODA1NjMyODM5Mjc3NDphY1VVc1IxOVJJMUlTNXhnNDEwSm9vUUgwTG54bUVMVXBvdHdqRGFXVVVaUFRTZ1FFejluQkVYam5XZm1sN3RSYnBOQ2owUTQySUN1UUc3cTNMZFZyb05teFZQa3JMRzZ4Nlg1NEk4aUZheXk5ZThQU2xrRDY0TWNSZm1PamZYVA', 'member': {'user': {'username': 'takiguzzler55', 'public_flags': 0, 'primary_guild': None, 'id': '848552717722189844', 'global_name': 'Jojo', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '404c8ef96d845c4244e4379a6c9122e8'}, 'unusual_dm_activity_until': None, 'roles': ['1468734025530081400'], 'premium_since': None, 'permissions': '9007199254740991', 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-02-03T22:02:55.145000+00:00', 'flags': 0, 'display_name_styles': None, 'deaf': False, 'communication_disabled_until': None, 'collectibles': None, 'banner': None, 'avatar': None}, 'locale': 'en-US', 'id': '1472048056328392774', 'guild_locale': 'en-US', 'guild_id': '1468366165041615112', 'guild': {'locale': 'en-US', 'id': '1468366165041615112', 'features': ['BYPASS_SLOWMODE_PERMISSION_MIGRATION_COMPLETE', 'PIN_PERMISSION_MIGRATION_COMPLETE']}, 'entitlements': [], 'entitlement_sku_ids': [], 'data': {'type': 1, 'name': 'help', 'id': '1472048027123323073', 'guild_id': '1468366165041615112'}, 'context': 0, 'channel_id': '1468366167499346014', 'channel': {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permissions': '9007199254740991', 'parent_id': '1468366167499346013', 'nsfw': False, 'name': 'general', 'last_message_id': '1471692661437108465', 'id': '1468366167499346014', 'guild_id': '1468366165041615112', 'flags': 0}, 'authorizing_integration_owners': {'0': '1468366165041615112'}, 'attachment_size_limit': 10485760, 'application_id': '991726125057331222', 'app_permissions': '9007199254740991'}}
[2026-02-13 20:53:26] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-13 20:53:26] [DEBUG   ] discord.client: Dispatching event interaction
[2026-02-13 20:53:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'webhook_id': '991726125057331222', 'type': 20, 'tts': False, 'timestamp': '2026-02-14T01:53:26.068000+00:00', 'position': 0, 'pinned': False, 'nonce': '1472048058077282304', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1468366613538541740'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-02-03T22:04:41.669000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'interaction_metadata': {'user': {'username': 'takiguzzler55', 'public_flags': 0, 'primary_guild': None, 'id': '848552717722189844', 'global_name': 'Jojo', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '404c8ef96d845c4244e4379a6c9122e8'}, 'type': 2, 'name': 'help', 'id': '1472048056328392774', 'command_type': 1, 'authorizing_integration_owners': {'0': '1468366165041615112'}}, 'interaction': {'user': {'username': 'takiguzzler55', 'public_flags': 0, 'primary_guild': None, 'id': '848552717722189844', 'global_name': 'Jojo', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '404c8ef96d845c4244e4379a6c9122e8'}, 'type': 2, 'name': 'help', 'member': {'roles': ['1468734025530081400'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-02-03T22:02:55.145000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1472048056328392774'}, 'id': '1472048056785436702', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Here are available commands: /hello - greetings from a bot!/joke - receive some laughter and joy', 'components': [], 'channel_type': 0, 'channel_id': '1468366167499346014', 'author': {'username': 'JOJO_BOT', 'public_flags': 0, 'primary_guild': None, 'id': '991726125057331222', 'global_name': None, 'display_name_styles': None, 'discriminator': '7617', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'application_id': '991726125057331222', 'guild_id': '1468366165041615112'}}
[2026-02-13 20:53:26] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-13 20:53:26] [DEBUG   ] discord.client: Dispatching event message
[2026-02-13 20:53:26] [DEBUG   ] discord.webhook.async_: Webhook ID 1472048056328392774 with POST https://discord.com/api/v10/interactions/1472048056328392774/aW50ZXJhY3Rpb246MTQ3MjA0ODA1NjMyODM5Mjc3NDphY1VVc1IxOVJJMUlTNXhnNDEwSm9vUUgwTG54bUVMVXBvdHdqRGFXVVVaUFRTZ1FFejluQkVYam5XZm1sN3RSYnBOQ2owUTQySUN1UUc3cTNMZFZyb05teFZQa3JMRzZ4Nlg1NEk4aUZheXk5ZThQU2xrRDY0TWNSZm1PamZYVA/callback has returned status code 200
[2026-02-13 20:53:26] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/991726125057331222/guilds/1468366165041615112/commands with [{"name":"hello","description":"What's up fool?","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"help","description":"erm, chat, what should I do","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"joke","description":"laughter's the best medicine...","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null}] has returned 200
[2026-02-13 20:53:26] [DEBUG   ] discord.http: A rate limit bucket (3e32a240d3716487d7d8f6dae6c54f6b) has been exhausted. Pre-emptively rate limiting...
[2026-02-13 20:53:26] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/991726125057331222/guilds/1468366165041615112/commands has received [{'id': '1472048027123323072', 'application_id': '991726125057331222', 'version': '1472048027123323075', 'default_member_permissions': None, 'type': 1, 'name': 'hello', 'name_localizations': None, 'description': "What's up fool?", 'description_localizations': None, 'guild_id': '1468366165041615112', 'nsfw': False}, {'id': '1472048027123323073', 'application_id': '991726125057331222', 'version': '1472048027123323076', 'default_member_permissions': None, 'type': 1, 'name': 'help', 'name_localizations': None, 'description': 'erm, chat, what should I do', 'description_localizations': None, 'guild_id': '1468366165041615112', 'nsfw': False}, {'id': '1472048027123323074', 'application_id': '991726125057331222', 'version': '1472048027123323077', 'default_member_permissions': None, 'type': 1, 'name': 'joke', 'name_localizations': None, 'description': "laughter's the best medicine...", 'description_localizations': None, 'guild_id': '1468366165041615112', 'nsfw': False}]
[2026-02-13 20:53:36] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'INTERACTION_CREATE', 's': 6, 'op': 0, 'd': {'version': 1, 'type': 2, 'token': 'aW50ZXJhY3Rpb246MTQ3MjA0ODA5NjY0ODM2ODE3MjpCZUk5eEsxUkV4TzFWWW92RDZSYnp6Y1duWlpjRVRxTHB5anB2VjNRcWk1U0JPMFFkZGE0VmF1VkdNM3lpOFBmNnFqdWhrakt4WFNVTmpxQkNpN2VHMm9YcDJFQzNXdWdwQU5yNWRjSjVxR3RzMFVnR3dlRVdESDNXT0ZOb3NQVA', 'member': {'user': {'username': 'takiguzzler55', 'public_flags': 0, 'primary_guild': None, 'id': '848552717722189844', 'global_name': 'Jojo', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '404c8ef96d845c4244e4379a6c9122e8'}, 'unusual_dm_activity_until': None, 'roles': ['1468734025530081400'], 'premium_since': None, 'permissions': '9007199254740991', 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-02-03T22:02:55.145000+00:00', 'flags': 0, 'display_name_styles': None, 'deaf': False, 'communication_disabled_until': None, 'collectibles': None, 'banner': None, 'avatar': None}, 'locale': 'en-US', 'id': '1472048096648368172', 'guild_locale': 'en-US', 'guild_id': '1468366165041615112', 'guild': {'locale': 'en-US', 'id': '1468366165041615112', 'features': ['PIN_PERMISSION_MIGRATION_COMPLETE', 'BYPASS_SLOWMODE_PERMISSION_MIGRATION_COMPLETE']}, 'entitlements': [], 'entitlement_sku_ids': [], 'data': {'type': 1, 'name': 'joke', 'id': '1472048027123323074', 'guild_id': '1468366165041615112'}, 'context': 0, 'channel_id': '1468366167499346014', 'channel': {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permissions': '9007199254740991', 'parent_id': '1468366167499346013', 'nsfw': False, 'name': 'general', 'last_message_id': '1472048056785436702', 'id': '1468366167499346014', 'guild_id': '1468366165041615112', 'flags': 0}, 'authorizing_integration_owners': {'0': '1468366165041615112'}, 'attachment_size_limit': 10485760, 'application_id': '991726125057331222', 'app_permissions': '9007199254740991'}}
[2026-02-13 20:53:36] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-13 20:53:36] [DEBUG   ] discord.client: Dispatching event interaction
[2026-02-13 20:53:36] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'webhook_id': '991726125057331222', 'type': 20, 'tts': False, 'timestamp': '2026-02-14T01:53:35.705000+00:00', 'position': 0, 'pinned': False, 'nonce': '1472048098577481728', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1468366613538541740'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-02-03T22:04:41.669000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'interaction_metadata': {'user': {'username': 'takiguzzler55', 'public_flags': 0, 'primary_guild': None, 'id': '848552717722189844', 'global_name': 'Jojo', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '404c8ef96d845c4244e4379a6c9122e8'}, 'type': 2, 'name': 'joke', 'id': '1472048096648368172', 'command_type': 1, 'authorizing_integration_owners': {'0': '1468366165041615112'}}, 'interaction': {'user': {'username': 'takiguzzler55', 'public_flags': 0, 'primary_guild': None, 'id': '848552717722189844', 'global_name': 'Jojo', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '404c8ef96d845c4244e4379a6c9122e8'}, 'type': 2, 'name': 'joke', 'member': {'roles': ['1468734025530081400'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-02-03T22:02:55.145000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1472048096648368172'}, 'id': '1472048097206075647', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': "My girlfriend is ridiculously good at deepthroating... It's actually not that great because she only gets to do it when she cheats on me with black guys.", 'components': [], 'channel_type': 0, 'channel_id': '1468366167499346014', 'author': {'username': 'JOJO_BOT', 'public_flags': 0, 'primary_guild': None, 'id': '991726125057331222', 'global_name': None, 'display_name_styles': None, 'discriminator': '7617', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'application_id': '991726125057331222', 'guild_id': '1468366165041615112'}}
[2026-02-13 20:53:36] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-13 20:53:36] [DEBUG   ] discord.client: Dispatching event message
[2026-02-13 20:53:36] [DEBUG   ] discord.webhook.async_: Webhook ID 1472048096648368172 with POST https://discord.com/api/v10/interactions/1472048096648368172/aW50ZXJhY3Rpb246MTQ3MjA0ODA5NjY0ODM2ODE3MjpCZUk5eEsxUkV4TzFWWW92RDZSYnp6Y1duWlpjRVRxTHB5anB2VjNRcWk1U0JPMFFkZGE0VmF1VkdNM3lpOFBmNnFqdWhrakt4WFNVTmpxQkNpN2VHMm9YcDJFQzNXdWdwQU5yNWRjSjVxR3RzMFVnR3dlRVdESDNXT0ZOb3NQVA/callback has returned status code 200
[2026-02-13 20:53:36] [DEBUG   ] discord.client: Dispatching event app_command_completion
